,Entry_date,DeltaT,Center,Size
0,2014-10-04 08:40:42,115383.0,"(43.4093233098101, 3.6875304057658993)",160803
1,2014-10-07 12:30:19,67454.0,"(45.77180590163932, 4.869328661202186)",61
2,2014-10-08 07:33:46,30925.0,"(45.78580376006621, 4.8792403489572616)",4843
3,2014-10-08 16:23:44,54175.0,"(45.77310891933308, 4.8717314202525595)",2719
4,2014-10-09 07:37:55,9590.0,"(45.78611514360843, 4.879920111245953)",824
5,2014-10-09 10:22:46,87778.0,"(45.785451362770544, 4.875586564692049)",16442
6,2014-10-10 18:15:02,93685.0,"(45.77012773458853, 4.869753658542806)",12966
7,2014-10-16 07:45:33,86490.0,"(45.78335795931757, 4.878596522309718)",508
8,2014-10-19 18:13:45,40093.0,"(43.40931714656869, 3.6875231168247287)",44009
9,2014-10-20 13:03:50,16536.0,"(45.67952350877192, 5.188790087719293)",19
10,2014-10-21 13:12:31,11712.0,"(46.168543333333304, 4.86189833333333)",8
11,2014-10-21 21:01:47,34941.0,"(45.77048919053928, 4.869696785846327)",4503
12,2014-10-27 17:13:54,74424.0,"(45.76124666666689, 4.814930000000003)",353
13,2014-11-17 10:55:58,7350.0,"(45.272995, 5.00879166666667)",4
14,2014-11-17 15:35:08,10216.0,"(45.785236925004824, 4.879320586080585)",1729
15,2014-11-17 18:41:02,51513.0,"(45.770695283218835, 4.86970325480855)",1889
16,2014-11-18 09:55:11,11122.0,"(45.78411679089005, 4.873515273556227)",7567
17,2014-11-18 14:27:47,11791.0,"(45.786386229861634, 4.879810874834773)",6807
18,2014-11-18 19:19:18,8728.0,"(45.77571500000001, 4.87027666666667)",4
19,2014-11-18 22:32:27,46411.0,"(45.770197780565965, 4.870616692951002)",4185
20,2014-11-19 11:27:29,9345.0,"(45.7862183071986, 4.879469089755038)",4464
21,2014-11-19 14:03:15,18306.0,"(45.786382330216064, 4.879771228222812)",21812
22,2014-11-19 19:24:21,43376.0,"(45.7716952238806, 4.870739798231086)",1206
23,2014-11-20 08:10:02,33628.0,"(45.78599383630551, 4.879910813900296)",1458
24,2014-11-20 17:57:34,10007.0,"(45.70637601489758, 4.843654199255122)",179
25,2014-11-20 22:57:36,32856.0,"(43.57225764558762, 1.4870670771969745)",13852
26,2014-11-21 08:13:42,10380.0,"(43.60171127437651, 1.4558767981859364)",1470
27,2014-11-21 21:14:13,41399.0,"(43.57231003215139, 1.4869244217788287)",33384
28,2014-11-22 09:48:21,18466.0,"(43.201436666666666, 1.229735402298851)",29
29,2014-11-23 09:03:06,16626.0,"(43.57231419723515, 1.486964593622642)",8342
30,2014-11-23 16:20:52,57181.0,"(43.220019222222206, 3.093917444444444)",30
31,2014-11-24 08:22:36,13834.0,"(45.78413827822947, 4.876031668311599)",8106
32,2014-11-24 18:24:29,48397.0,"(45.770023333333285, 4.870618333333329)",21
33,2014-11-25 14:14:40,14205.0,"(45.78478211128477, 4.876996168537348)",3831
34,2014-11-25 18:21:11,46808.0,"(45.77176262675286, 4.870690028047461)",1545
35,2014-11-26 11:04:25,24150.0,"(45.78552371521239, 4.878354487340446)",1593
36,2014-11-26 18:05:17,48188.0,"(45.77207475969003, 4.870610110465123)",1720
37,2014-11-27 10:28:53,10106.0,"(45.786417749183514, 4.8796557342643965)",18186
38,2014-11-27 13:19:45,7901.0,"(45.78656724684626, 4.879880831529787)",13401
39,2014-11-27 15:33:35,7205.0,"(45.786488908164934, 4.879846144618322)",13546
40,2014-11-27 18:51:38,8974.0,"(45.771898783667176, 4.870735106658049)",1547
41,2014-11-27 21:24:46,36683.0,"(45.76999617647056, 4.8700528431372545)",17
42,2014-11-28 08:23:23,8933.0,"(45.786130172001705, 4.879549804108932)",4186
43,2014-11-28 17:26:51,18570.0,"(45.77038941601085, 4.8690156837270315)",2540
44,2014-11-28 22:49:37,16880.0,"(45.77015656426627, 4.869876889050836)",17822
45,2014-11-29 19:02:14,14747.0,"(45.76980596602976, 4.868783736730358)",628
46,2014-11-30 01:15:21,7935.0,"(45.77017989208862, 4.869848563520412)",9514
47,2014-11-30 08:46:14,90172.0,"(45.77026980240196, 4.86954616471057)",5027
48,2014-12-01 10:35:26,13636.0,"(45.78631541844201, 4.87966700458708)",13371
49,2014-12-01 14:30:23,9902.0,"(45.78643273444361, 4.879839479363887)",2641
50,2014-12-01 19:02:40,46613.0,"(45.77247283519544, 4.8698559590316535)",716
