,Entry_date,DeltaT,Center,Size
0,2014-10-04 08:40:42,115383.0,"(43.4093233098101, 3.6875304057658993)",160803
1,2014-10-07 12:30:19,67425.0,"(45.7716111111111, 4.869360555555553)",3
2,2014-10-08 07:35:37,2487.0,"(45.78649497609002, 4.879447077355848)",1185
3,2014-10-08 16:29:03,53158.0,"(45.77090584184912, 4.870507773722625)",685
4,2014-10-09 07:44:40,9432.0,"(45.78742617967332, 4.879349171203869)",551
5,2014-10-09 10:24:53,4938.0,"(45.78520980647413, 4.873731636019258)",9680
6,2014-10-09 12:00:12,4394.0,"(45.784235110470746, 4.874330036023043)",1388
7,2014-10-09 13:13:27,5319.0,"(45.78593613955816, 4.879314031124481)",664
8,2014-10-09 14:55:28,71402.0,"(45.786407048260465, 4.879779322109984)",2970
9,2014-10-10 18:15:02,12210.0,"(45.77013081322719, 4.8696669428873305)",8206
10,2014-10-10 21:40:16,81371.0,"(45.77012815852259, 4.8699034316202825)",4748
11,2014-10-15 12:45:48,6172.0,"(45.784746691158595, 4.8805134680382105)",1361
12,2014-10-16 07:49:01,86282.0,"(45.78444588888887, 4.87952137037037)",90
13,2014-10-19 12:17:33,4573.0,"(42.12485498979117, 3.1350200933420935)",9142
14,2014-10-19 14:14:32,2905.0,"(42.11350183648519, 3.136690680147074)",3808
15,2014-10-19 15:02:58,3585.0,"(42.113390287547965, 3.136675407542741)",6028
16,2014-10-19 18:14:11,2988.0,"(43.409353543546544, 3.6875574328093483)",5978
17,2014-10-19 19:04:00,37011.0,"(43.409308571629126, 3.6874949832653066)",37845
18,2014-10-20 08:31:45,5708.0,"(45.786396160494085, 4.879686500771613)",2160
19,2014-10-20 10:13:05,2308.0,"(45.78231813625312, 4.877401360097316)",1370
20,2014-10-20 11:14:45,5611.0,"(45.786408491239406, 4.879702142594232)",9056
21,2014-10-20 13:03:52,16534.0,"(45.67986422222221, 5.1895701111111086)",15
22,2014-10-21 13:12:31,11712.0,"(46.168543333333304, 4.86189833333333)",8
23,2014-10-21 21:01:47,34790.0,"(45.77026273466598, 4.8696814361658305)",4201
24,2014-10-22 08:21:29,2415.0,"(45.77321600000002, 4.878389222222223)",15
25,2014-10-27 17:13:54,74424.0,"(45.76124666666689, 4.814930000000003)",353
26,2014-11-14 18:28:06,4393.0,"(45.75811716424625, 4.833852009685233)",8260
27,2014-11-14 20:10:48,1985.0,"(45.770496209563966, 4.87043050632912)",948
28,2014-11-14 20:43:54,4462.0,"(45.770203035282215, 4.869670771239276)",5234
29,2014-11-17 10:55:58,7350.0,"(45.272995, 5.00879166666667)",4
30,2014-11-17 13:06:25,2182.0,"(45.78616554173325, 4.87932852059921)",1246
31,2014-11-17 13:43:06,2651.0,"(45.78644176915575, 4.880682964860904)",1366
32,2014-11-17 14:31:06,3649.0,"(45.97516249999998, 4.8327496666666665)",20
33,2014-11-17 15:35:08,9945.0,"(45.78634001123283, 4.8798358775624715)",1187
34,2014-11-17 18:44:13,3850.0,"(45.770227794837375, 4.869675215843356)",1498
35,2014-11-17 19:48:24,47471.0,"(45.76929629629629, 4.86871574074074)",9
36,2014-11-18 09:58:25,6424.0,"(45.783987733432504, 4.872956295465871)",6690
37,2014-11-18 11:45:30,4503.0,"(45.78555353783229, 4.879051380368105)",489
38,2014-11-18 13:07:39,4757.0,"(46.2874833333333, 4.94641333333333)",4
39,2014-11-18 14:27:47,11791.0,"(45.786386229861634, 4.879810874834773)",6807
40,2014-11-18 19:19:18,8728.0,"(45.77571500000001, 4.87027666666667)",4
41,2014-11-18 22:32:27,46411.0,"(45.770197780565965, 4.870616692951002)",4185
42,2014-11-19 11:31:12,7870.0,"(45.78621535928229, 4.879861791417201)",2672
43,2014-11-19 13:50:54,18869.0,"(45.78644573590063, 4.879777866561279)",22802
44,2014-11-19 19:28:33,43124.0,"(45.770942155322835, 4.871243682373473)",764
45,2014-11-20 08:10:51,33587.0,"(45.786174169089215, 4.879900121124)",1376
46,2014-11-20 17:58:09,9972.0,"(45.70553633027526, 4.843707568807339)",109
47,2014-11-20 23:13:55,29527.0,"(43.57222127452939, 1.487027481452917)",10379
48,2014-11-21 07:27:00,2277.0,"(43.572282676518306, 1.4869189429392446)",3248
49,2014-11-21 08:15:28,10274.0,"(43.60194120930237, 1.4557875116279058)",1290
50,2014-11-21 21:14:13,41399.0,"(43.57231003215139, 1.4869244217788287)",33384
